ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0007288	sperm axoneme assembly	1/41	28/18870	0,059127044	0,186913859	0,142133538	255101	1	BP
GO:0010922	positive regulation of phosphatase activity	1/41	28/18870	0,059127044	0,186913859	0,142133538	5159	1	BP
GO:0014850	response to muscle activity	1/41	28/18870	0,059127044	0,186913859	0,142133538	498	1	BP
GO:0021680	cerebellar Purkinje cell layer development	1/41	28/18870	0,059127044	0,186913859	0,142133538	6712	1	BP
GO:0034698	response to gonadotropin	1/41	28/18870	0,059127044	0,186913859	0,142133538	4851	1	BP
GO:0035116	embryonic hindlimb morphogenesis	1/41	28/18870	0,059127044	0,186913859	0,142133538	4851	1	BP
GO:0045606	positive regulation of epidermal cell differentiation	1/41	28/18870	0,059127044	0,186913859	0,142133538	4851	1	BP
GO:0045686	negative regulation of glial cell differentiation	1/41	28/18870	0,059127044	0,186913859	0,142133538	4851	1	BP
GO:0060512	prostate gland morphogenesis	1/41	28/18870	0,059127044	0,186913859	0,142133538	4851	1	BP
GO:0070199	establishment of protein localization to chromosome	1/41	28/18870	0,059127044	0,186913859	0,142133538	675	1	BP
GO:2000756	regulation of peptidyl-lysine acetylation	1/41	28/18870	0,059127044	0,186913859	0,142133538	672	1	BP
GO:0000070	mitotic sister chromatid segregation	2/41	184/18870	0,060523472	0,18913993	0,143826293	11200/9055	2	BP
GO:0051347	positive regulation of transferase activity	3/41	414/18870	0,060556695	0,18913993	0,143826293	2260/5159/2065	3	BP
GO:0003171	atrioventricular valve development	1/41	29/18870	0,061174374	0,18913993	0,143826293	4851	1	BP
GO:0003209	cardiac atrium morphogenesis	1/41	29/18870	0,061174374	0,18913993	0,143826293	4851	1	BP
GO:0006833	water transport	1/41	29/18870	0,061174374	0,18913993	0,143826293	1080	1	BP
GO:0009312	oligosaccharide biosynthetic process	1/41	29/18870	0,061174374	0,18913993	0,143826293	55808	1	BP
GO:0031571	mitotic G1 DNA damage checkpoint signaling	1/41	29/18870	0,061174374	0,18913993	0,143826293	11200	1	BP
GO:0044819	mitotic G1/S transition checkpoint signaling	1/41	29/18870	0,061174374	0,18913993	0,143826293	11200	1	BP
GO:0045830	positive regulation of isotype switching	1/41	29/18870	0,061174374	0,18913993	0,143826293	4436	1	BP
GO:0060295	regulation of cilium movement involved in cell motility	1/41	29/18870	0,061174374	0,18913993	0,143826293	64147	1	BP
GO:1902019	regulation of cilium-dependent cell motility	1/41	29/18870	0,061174374	0,18913993	0,143826293	64147	1	BP
GO:0051302	regulation of cell division	2/41	186/18870	0,061683984	0,19033564	0,144735538	675/9055	2	BP
GO:0000910	cytokinesis	2/41	188/18870	0,062852184	0,19163148	0,145720924	675/9055	2	BP
GO:0010575	positive regulation of vascular endothelial growth factor production	1/41	30/18870	0,063217357	0,19163148	0,145720924	672	1	BP
GO:0035774	positive regulation of insulin secretion involved in cellular response to glucose stimulus	1/41	30/18870	0,063217357	0,19163148	0,145720924	1080	1	BP
GO:0060045	positive regulation of cardiac muscle cell proliferation	1/41	30/18870	0,063217357	0,19163148	0,145720924	4851	1	BP
GO:0060219	camera-type eye photoreceptor cell differentiation	1/41	30/18870	0,063217357	0,19163148	0,145720924	4851	1	BP
GO:0061098	positive regulation of protein tyrosine kinase activity	1/41	30/18870	0,063217357	0,19163148	0,145720924	2065	1	BP
GO:0070168	negative regulation of biomineral tissue development	1/41	30/18870	0,063217357	0,19163148	0,145720924	4851	1	BP
GO:0071295	cellular response to vitamin	1/41	30/18870	0,063217357	0,19163148	0,145720924	83990	1	BP
GO:1901380	negative regulation of potassium ion transmembrane transport	1/41	30/18870	0,063217357	0,19163148	0,145720924	23327	1	BP
GO:0046890	regulation of lipid biosynthetic process	2/41	189/18870	0,06343914	0,19192818	0,145946542	672/26137	2	BP
GO:0017157	regulation of exocytosis	2/41	190/18870	0,064027987	0,193332069	0,147014091	1080/4851	2	BP
GO:0006506	GPI anchor biosynthetic process	1/41	31/18870	0,065256003	0,194014489	0,147533018	284098	1	BP
GO:0009048	dosage compensation by inactivation of X chromosome	1/41	31/18870	0,065256003	0,194014489	0,147533018	672	1	BP
GO:0017145	stem cell division	1/41	31/18870	0,065256003	0,194014489	0,147533018	4851	1	BP
GO:0034505	tooth mineralization	1/41	31/18870	0,065256003	0,194014489	0,147533018	1080	1	BP
GO:0045070	positive regulation of viral genome replication	1/41	31/18870	0,065256003	0,194014489	0,147533018	4851	1	BP
GO:0048240	sperm capacitation	1/41	31/18870	0,065256003	0,194014489	0,147533018	1080	1	BP
GO:0070198	protein localization to chromosome, telomeric region	1/41	31/18870	0,065256003	0,194014489	0,147533018	675	1	BP
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	1/41	31/18870	0,065256003	0,194014489	0,147533018	672	1	BP
GO:0009749	response to glucose	2/41	193/18870	0,065805763	0,195274189	0,148490923	1080/26137	2	BP
GO:0048469	cell maturation	2/41	195/18870	0,067000206	0,19698377	0,149790927	675/1080	2	BP
GO:0055001	muscle cell development	2/41	195/18870	0,067000206	0,19698377	0,149790927	5159/4851	2	BP
GO:0006505	GPI anchor metabolic process	1/41	32/18870	0,06729032	0,19698377	0,149790927	284098	1	BP
GO:0034694	response to prostaglandin	1/41	32/18870	0,06729032	0,19698377	0,149790927	31	1	BP
GO:0045684	positive regulation of epidermis development	1/41	32/18870	0,06729032	0,19698377	0,149790927	4851	1	BP
GO:0048710	regulation of astrocyte differentiation	1/41	32/18870	0,06729032	0,19698377	0,149790927	4851	1	BP
GO:0061384	heart trabecula morphogenesis	1/41	32/18870	0,06729032	0,19698377	0,149790927	4851	1	BP
GO:0060537	muscle tissue development	3/41	433/18870	0,067399224	0,19698377	0,149790927	5159/2065/4851	3	BP
GO:0008154	actin polymerization or depolymerization	2/41	196/18870	0,067600174	0,197199002	0,149954594	6712/6708	2	BP
GO:0009060	aerobic respiration	2/41	197/18870	0,06820196	0,197279906	0,150016115	4436/498	2	BP
GO:0009746	response to hexose	2/41	198/18870	0,068805552	0,197279906	0,150016115	1080/26137	2	BP
GO:0045664	regulation of neuron differentiation	2/41	198/18870	0,068805552	0,197279906	0,150016115	2260/4851	2	BP
GO:0001556	oocyte maturation	1/41	33/18870	0,069320318	0,197279906	0,150016115	675	1	BP
GO:0006084	acetyl-CoA metabolic process	1/41	33/18870	0,069320318	0,197279906	0,150016115	31	1	BP
GO:0007549	dosage compensation	1/41	33/18870	0,069320318	0,197279906	0,150016115	672	1	BP
GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway	1/41	33/18870	0,069320318	0,197279906	0,150016115	1030	1	BP
GO:0031069	hair follicle morphogenesis	1/41	33/18870	0,069320318	0,197279906	0,150016115	4851	1	BP
GO:0050891	multicellular organismal-level water homeostasis	1/41	33/18870	0,069320318	0,197279906	0,150016115	1080	1	BP
GO:0060914	heart formation	1/41	33/18870	0,069320318	0,197279906	0,150016115	4851	1	BP
GO:0061436	establishment of skin barrier	1/41	33/18870	0,069320318	0,197279906	0,150016115	388697	1	BP
GO:0090279	regulation of calcium ion import	1/41	33/18870	0,069320318	0,197279906	0,150016115	5159	1	BP
GO:1903846	positive regulation of cellular response to transforming growth factor beta stimulus	1/41	33/18870	0,069320318	0,197279906	0,150016115	1030	1	BP
GO:0002520	immune system development	2/41	199/18870	0,069410942	0,197279906	0,150016115	4436/1030	2	BP
GO:0031396	regulation of protein ubiquitination	2/41	200/18870	0,070018118	0,198641143	0,151051231	672/57697	2	BP
GO:0048732	gland development	3/41	443/18870	0,071138618	0,199126057	0,151419971	675/1030/4851	3	BP
GO:0001935	endothelial cell proliferation	2/41	202/18870	0,071237789	0,199126057	0,151419971	2260/498	2	BP
GO:0007051	spindle organization	2/41	202/18870	0,071237789	0,199126057	0,151419971	11200/9055	2	BP
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	1/41	34/18870	0,071346005	0,199126057	0,151419971	9924	1	BP
GO:0006691	leukotriene metabolic process	1/41	34/18870	0,071346005	0,199126057	0,151419971	4363	1	BP
GO:0043276	anoikis	1/41	34/18870	0,071346005	0,199126057	0,151419971	4851	1	BP
GO:0046475	glycerophospholipid catabolic process	1/41	34/18870	0,071346005	0,199126057	0,151419971	283748	1	BP
GO:0060317	cardiac epithelial to mesenchymal transition	1/41	34/18870	0,071346005	0,199126057	0,151419971	4851	1	BP
GO:1904385	cellular response to angiotensin	1/41	34/18870	0,071346005	0,199126057	0,151419971	83990	1	BP
GO:0003341	cilium movement	2/41	203/18870	0,071850264	0,200172767	0,152215912	64147/255101	2	BP
GO:0032271	regulation of protein polymerization	2/41	204/18870	0,072464484	0,200434017	0,152414573	6712/6708	2	BP
GO:0006298	mismatch repair	1/41	35/18870	0,07336739	0,200434017	0,152414573	4436	1	BP
GO:0006779	porphyrin-containing compound biosynthetic process	1/41	35/18870	0,07336739	0,200434017	0,152414573	6708	1	BP
GO:0008340	determination of adult lifespan	1/41	35/18870	0,07336739	0,200434017	0,152414573	4436	1	BP
GO:0010614	negative regulation of cardiac muscle hypertrophy	1/41	35/18870	0,07336739	0,200434017	0,152414573	4851	1	BP
GO:0015701	bicarbonate transport	1/41	35/18870	0,07336739	0,200434017	0,152414573	1080	1	BP
GO:0033014	tetrapyrrole biosynthetic process	1/41	35/18870	0,07336739	0,200434017	0,152414573	6708	1	BP
GO:0033146	regulation of intracellular estrogen receptor signaling pathway	1/41	35/18870	0,07336739	0,200434017	0,152414573	672	1	BP
GO:0046471	phosphatidylglycerol metabolic process	1/41	35/18870	0,07336739	0,200434017	0,152414573	283748	1	BP
GO:0048873	homeostasis of number of cells within a tissue	1/41	35/18870	0,07336739	0,200434017	0,152414573	4851	1	BP
GO:0086005	ventricular cardiac muscle cell action potential	1/41	35/18870	0,07336739	0,200434017	0,152414573	23327	1	BP
GO:0034284	response to monosaccharide	2/41	206/18870	0,073698125	0,20098309	0,152832101	1080/26137	2	BP
GO:0071383	cellular response to steroid hormone stimulus	2/41	208/18870	0,074938629	0,203079242	0,154426062	672/498	2	BP
GO:0006869	lipid transport	3/41	453/18870	0,07497117	0,203079242	0,154426062	4363/1080/7436	3	BP
GO:0021696	cerebellar cortex morphogenesis	1/41	36/18870	0,075384483	0,203079242	0,154426062	6712	1	BP
GO:0035137	hindlimb morphogenesis	1/41	36/18870	0,075384483	0,203079242	0,154426062	4851	1	BP
GO:0045920	negative regulation of exocytosis	1/41	36/18870	0,075384483	0,203079242	0,154426062	4851	1	BP
GO:0055023	positive regulation of cardiac muscle tissue growth	1/41	36/18870	0,075384483	0,203079242	0,154426062	4851	1	BP
GO:0071425	hematopoietic stem cell proliferation	1/41	36/18870	0,075384483	0,203079242	0,154426062	675	1	BP
GO:0019722	calcium-mediated signaling	2/41	210/18870	0,076185919	0,203545678	0,154780751	5159/2065	2	BP
GO:0045732	positive regulation of protein catabolic process	2/41	210/18870	0,076185919	0,203545678	0,154780751	23327/51339	2	BP
GO:0072594	establishment of protein localization to organelle	3/41	459/18870	0,077314731	0,203545678	0,154780751	675/79711/4851	3	BP
GO:0002052	positive regulation of neuroblast proliferation	1/41	37/18870	0,077397291	0,203545678	0,154780751	4851	1	BP
GO:0003161	cardiac conduction system development	1/41	37/18870	0,077397291	0,203545678	0,154780751	4851	1	BP
GO:0003230	cardiac atrium development	1/41	37/18870	0,077397291	0,203545678	0,154780751	4851	1	BP
GO:0007095	mitotic G2 DNA damage checkpoint signaling	1/41	37/18870	0,077397291	0,203545678	0,154780751	672	1	BP
GO:0014741	negative regulation of muscle hypertrophy	1/41	37/18870	0,077397291	0,203545678	0,154780751	4851	1	BP
GO:0033144	negative regulation of intracellular steroid hormone receptor signaling pathway	1/41	37/18870	0,077397291	0,203545678	0,154780751	672	1	BP
GO:0043267	negative regulation of potassium ion transport	1/41	37/18870	0,077397291	0,203545678	0,154780751	23327	1	BP
GO:0046329	negative regulation of JNK cascade	1/41	37/18870	0,077397291	0,203545678	0,154780751	51339	1	BP
GO:0046688	response to copper ion	1/41	37/18870	0,077397291	0,203545678	0,154780751	4583	1	BP
GO:0048730	epidermis morphogenesis	1/41	37/18870	0,077397291	0,203545678	0,154780751	4851	1	BP
GO:0097484	dendrite extension	1/41	37/18870	0,077397291	0,203545678	0,154780751	23327	1	BP
GO:0009152	purine ribonucleotide biosynthetic process	2/41	213/18870	0,078069403	0,204965262	0,155860235	31/498	2	BP
GO:0043270	positive regulation of monoatomic ion transport	2/41	214/18870	0,078700538	0,205341607	0,156146416	1080/5159	2	BP
GO:0003180	aortic valve morphogenesis	1/41	38/18870	0,079405825	0,205341607	0,156146416	4851	1	BP
GO:0032965	regulation of collagen biosynthetic process	1/41	38/18870	0,079405825	0,205341607	0,156146416	4851	1	BP
GO:0042044	fluid transport	1/41	38/18870	0,079405825	0,205341607	0,156146416	1080	1	BP
GO:0048536	spleen development	1/41	38/18870	0,079405825	0,205341607	0,156146416	1030	1	BP
GO:0060306	regulation of membrane repolarization	1/41	38/18870	0,079405825	0,205341607	0,156146416	23327	1	BP
GO:0060563	neuroepithelial cell differentiation	1/41	38/18870	0,079405825	0,205341607	0,156146416	4851	1	BP
GO:0070316	regulation of G0 to G1 transition	1/41	38/18870	0,079405825	0,205341607	0,156146416	1030	1	BP
GO:1990776	response to angiotensin	1/41	38/18870	0,079405825	0,205341607	0,156146416	83990	1	BP
GO:0050679	positive regulation of epithelial cell proliferation	2/41	218/18870	0,081241358	0,207408278	0,157717959	2260/4851	2	BP
GO:0070374	positive regulation of ERK1 and ERK2 cascade	2/41	218/18870	0,081241358	0,207408278	0,157717959	5159/4851	2	BP
GO:0051051	negative regulation of transport	3/41	469/18870	0,081292875	0,207408278	0,157717959	23327/2065/4851	3	BP
GO:0014037	Schwann cell differentiation	1/41	39/18870	0,081410092	0,207408278	0,157717959	2065	1	BP
GO:0017158	regulation of calcium ion-dependent exocytosis	1/41	39/18870	0,081410092	0,207408278	0,157717959	4851	1	BP
GO:0043550	regulation of lipid kinase activity	1/41	39/18870	0,081410092	0,207408278	0,157717959	5159	1	BP
GO:0045191	regulation of isotype switching	1/41	39/18870	0,081410092	0,207408278	0,157717959	4436	1	BP
GO:0071548	response to dexamethasone	1/41	39/18870	0,081410092	0,207408278	0,157717959	498	1	BP
GO:0099068	postsynapse assembly	1/41	39/18870	0,081410092	0,207408278	0,157717959	6712	1	BP
GO:0043410	positive regulation of MAPK cascade	3/41	474/18870	0,083315338	0,207720656	0,157955499	2260/5159/4851	3	BP
GO:0003352	regulation of cilium movement	1/41	40/18870	0,083410102	0,207720656	0,157955499	64147	1	BP
GO:0030279	negative regulation of ossification	1/41	40/18870	0,083410102	0,207720656	0,157955499	4851	1	BP
GO:0031056	regulation of histone modification	1/41	40/18870	0,083410102	0,207720656	0,157955499	672	1	BP
GO:0032728	positive regulation of interferon-beta production	1/41	40/18870	0,083410102	0,207720656	0,157955499	26137	1	BP
GO:0033260	nuclear DNA replication	1/41	40/18870	0,083410102	0,207720656	0,157955499	675	1	BP
GO:0035337	fatty-acyl-CoA metabolic process	1/41	40/18870	0,083410102	0,207720656	0,157955499	31	1	BP
GO:0035886	vascular associated smooth muscle cell differentiation	1/41	40/18870	0,083410102	0,207720656	0,157955499	4851	1	BP
GO:0036297	interstrand cross-link repair	1/41	40/18870	0,083410102	0,207720656	0,157955499	57697	1	BP
GO:0045023	G0 to G1 transition	1/41	40/18870	0,083410102	0,207720656	0,157955499	1030	1	BP
GO:0045616	regulation of keratinocyte differentiation	1/41	40/18870	0,083410102	0,207720656	0,157955499	4851	1	BP
GO:0060421	positive regulation of heart growth	1/41	40/18870	0,083410102	0,207720656	0,157955499	4851	1	BP
GO:0070884	regulation of calcineurin-NFAT signaling cascade	1/41	40/18870	0,083410102	0,207720656	0,157955499	2065	1	BP
GO:1901532	regulation of hematopoietic progenitor cell differentiation	1/41	40/18870	0,083410102	0,207720656	0,157955499	4851	1	BP
GO:0003203	endocardial cushion morphogenesis	1/41	41/18870	0,085405863	0,210323819	0,159935003	4851	1	BP
GO:0032781	positive regulation of ATP-dependent activity	1/41	41/18870	0,085405863	0,210323819	0,159935003	4436	1	BP
GO:0051154	negative regulation of striated muscle cell differentiation	1/41	41/18870	0,085405863	0,210323819	0,159935003	4851	1	BP
GO:0072210	metanephric nephron development	1/41	41/18870	0,085405863	0,210323819	0,159935003	5159	1	BP
GO:0106056	regulation of calcineurin-mediated signaling	1/41	41/18870	0,085405863	0,210323819	0,159935003	2065	1	BP
GO:0120316	sperm flagellum assembly	1/41	41/18870	0,085405863	0,210323819	0,159935003	255101	1	BP
GO:1902742	apoptotic process involved in development	1/41	41/18870	0,085405863	0,210323819	0,159935003	4851	1	BP
GO:0000819	sister chromatid segregation	2/41	225/18870	0,08574899	0,210833628	0,160322673	11200/9055	2	BP
GO:0000209	protein polyubiquitination	2/41	226/18870	0,086399144	0,211528983	0,160851437	672/23327	2	BP
GO:0072330	monocarboxylic acid biosynthetic process	2/41	226/18870	0,086399144	0,211528983	0,160851437	672/31	2	BP
GO:0006904	vesicle docking involved in exocytosis	1/41	42/18870	0,087397385	0,211528983	0,160851437	1080	1	BP
GO:0030513	positive regulation of BMP signaling pathway	1/41	42/18870	0,087397385	0,211528983	0,160851437	4851	1	BP
GO:0032941	secretion by tissue	1/41	42/18870	0,087397385	0,211528983	0,160851437	4583	1	BP
GO:0035307	positive regulation of protein dephosphorylation	1/41	42/18870	0,087397385	0,211528983	0,160851437	5159	1	BP
GO:0045292	mRNA cis splicing, via spliceosome	1/41	42/18870	0,087397385	0,211528983	0,160851437	51759	1	BP
GO:0045922	negative regulation of fatty acid metabolic process	1/41	42/18870	0,087397385	0,211528983	0,160851437	672	1	BP
GO:1901983	regulation of protein acetylation	1/41	42/18870	0,087397385	0,211528983	0,160851437	672	1	BP
GO:2000008	regulation of protein localization to cell surface	1/41	42/18870	0,087397385	0,211528983	0,160851437	23327	1	BP
GO:0009260	ribonucleotide biosynthetic process	2/41	228/18870	0,087704013	0,211939964	0,161163956	31/498	2	BP
GO:0009743	response to carbohydrate	2/41	230/18870	0,089014902	0,212683352	0,161729246	1080/26137	2	BP
GO:0002714	positive regulation of B cell mediated immunity	1/41	43/18870	0,089384676	0,212683352	0,161729246	4436	1	BP
GO:0002891	positive regulation of immunoglobulin mediated immune response	1/41	43/18870	0,089384676	0,212683352	0,161729246	4436	1	BP
GO:0003176	aortic valve development	1/41	43/18870	0,089384676	0,212683352	0,161729246	4851	1	BP
GO:0006513	protein monoubiquitination	1/41	43/18870	0,089384676	0,212683352	0,161729246	57697	1	BP
GO:0007099	centriole replication	1/41	43/18870	0,089384676	0,212683352	0,161729246	672	1	BP
GO:0010712	regulation of collagen metabolic process	1/41	43/18870	0,089384676	0,212683352	0,161729246	4851	1	BP
GO:0060412	ventricular septum morphogenesis	1/41	43/18870	0,089384676	0,212683352	0,161729246	4851	1	BP
GO:0099084	postsynaptic specialization organization	1/41	43/18870	0,089384676	0,212683352	0,161729246	6712	1	BP
GO:1904646	cellular response to amyloid-beta	1/41	43/18870	0,089384676	0,212683352	0,161729246	4363	1	BP
GO:0032412	regulation of monoatomic ion transmembrane transporter activity	2/41	231/18870	0,089672581	0,213041148	0,162001322	1080/23327	2	BP
GO:0043523	regulation of neuron apoptotic process	2/41	232/18870	0,090331738	0,214278502	0,162942233	4436/2065	2	BP
GO:0016358	dendrite development	2/41	233/18870	0,090992362	0,214437326	0,163063007	7436/23327	2	BP
GO:0006862	nucleotide transport	1/41	44/18870	0,091367744	0,214437326	0,163063007	4363	1	BP
GO:0021587	cerebellum morphogenesis	1/41	44/18870	0,091367744	0,214437326	0,163063007	6712	1	BP
GO:0044786	cell cycle DNA replication	1/41	44/18870	0,091367744	0,214437326	0,163063007	675	1	BP
GO:0045840	positive regulation of mitotic nuclear division	1/41	44/18870	0,091367744	0,214437326	0,163063007	5159	1	BP
GO:0050913	sensory perception of bitter taste	1/41	44/18870	0,091367744	0,214437326	0,163063007	3710	1	BP
GO:0090051	negative regulation of cell migration involved in sprouting angiogenesis	1/41	44/18870	0,091367744	0,214437326	0,163063007	4851	1	BP
GO:0072593	reactive oxygen species metabolic process	2/41	234/18870	0,091654446	0,214784776	0,163327216	672/5159	2	BP
GO:0046390	ribose phosphate biosynthetic process	2/41	235/18870	0,09231798	0,216012916	0,164261122	31/498	2	BP
GO:0001667	ameboidal-type cell migration	3/41	497/18870	0,092898111	0,216134352	0,164353464	2260/498/4851	3	BP
GO:0022411	cellular component disassembly	3/41	497/18870	0,092898111	0,216134352	0,164353464	6712/6708/64147	3	BP
GO:0002347	response to tumor cell	1/41	45/18870	0,093346599	0,216134352	0,164353464	4851	1	BP
GO:0033173	calcineurin-NFAT signaling cascade	1/41	45/18870	0,093346599	0,216134352	0,164353464	2065	1	BP
GO:0042491	inner ear auditory receptor cell differentiation	1/41	45/18870	0,093346599	0,216134352	0,164353464	4851	1	BP
GO:0045687	positive regulation of glial cell differentiation	1/41	45/18870	0,093346599	0,216134352	0,164353464	4851	1	BP
GO:0048713	regulation of oligodendrocyte differentiation	1/41	45/18870	0,093346599	0,216134352	0,164353464	4851	1	BP
GO:0022898	regulation of transmembrane transporter activity	2/41	239/18870	0,094986435	0,217781573	0,165606048	1080/23327	2	BP
GO:0021517	ventral spinal cord development	1/41	46/18870	0,095321249	0,217781573	0,165606048	7436	1	BP
GO:0042168	heme metabolic process	1/41	46/18870	0,095321249	0,217781573	0,165606048	4363	1	BP
GO:0047496	vesicle transport along microtubule	1/41	46/18870	0,095321249	0,217781573	0,165606048	1780	1	BP
GO:0085029	extracellular matrix assembly	1/41	46/18870	0,095321249	0,217781573	0,165606048	4851	1	BP
GO:1901861	regulation of muscle tissue development	1/41	46/18870	0,095321249	0,217781573	0,165606048	2065	1	BP
GO:1902116	negative regulation of organelle assembly	1/41	46/18870	0,095321249	0,217781573	0,165606048	672	1	BP
GO:2001239	regulation of extrinsic apoptotic signaling pathway in absence of ligand	1/41	46/18870	0,095321249	0,217781573	0,165606048	2260	1	BP
GO:0003254	regulation of membrane depolarization	1/41	47/18870	0,097291703	0,217781573	0,165606048	23327	1	BP
GO:0010824	regulation of centrosome duplication	1/41	47/18870	0,097291703	0,217781573	0,165606048	672	1	BP
GO:0010830	regulation of myotube differentiation	1/41	47/18870	0,097291703	0,217781573	0,165606048	4851	1	BP
GO:0021575	hindbrain morphogenesis	1/41	47/18870	0,097291703	0,217781573	0,165606048	6712	1	BP
GO:0035384	thioester biosynthetic process	1/41	47/18870	0,097291703	0,217781573	0,165606048	31	1	BP
GO:0035850	epithelial cell differentiation involved in kidney development	1/41	47/18870	0,097291703	0,217781573	0,165606048	4851	1	BP
GO:0043666	regulation of phosphoprotein phosphatase activity	1/41	47/18870	0,097291703	0,217781573	0,165606048	5159	1	BP
GO:0045601	regulation of endothelial cell differentiation	1/41	47/18870	0,097291703	0,217781573	0,165606048	4851	1	BP
GO:0055010	ventricular cardiac muscle tissue morphogenesis	1/41	47/18870	0,097291703	0,217781573	0,165606048	4851	1	BP
GO:0060043	regulation of cardiac muscle cell proliferation	1/41	47/18870	0,097291703	0,217781573	0,165606048	4851	1	BP
GO:0061383	trabecula morphogenesis	1/41	47/18870	0,097291703	0,217781573	0,165606048	4851	1	BP
GO:0071616	acyl-CoA biosynthetic process	1/41	47/18870	0,097291703	0,217781573	0,165606048	31	1	BP
GO:0072538	T-helper 17 type immune response	1/41	47/18870	0,097291703	0,217781573	0,165606048	4851	1	BP
GO:0120163	negative regulation of cold-induced thermogenesis	1/41	47/18870	0,097291703	0,217781573	0,165606048	4851	1	BP
GO:1905314	semi-lunar valve development	1/41	47/18870	0,097291703	0,217781573	0,165606048	4851	1	BP
GO:0045333	cellular respiration	2/41	243/18870	0,097677373	0,218014771	0,165783377	4436/498	2	BP
GO:1903320	regulation of protein modification by small protein conjugation or removal	2/41	243/18870	0,097677373	0,218014771	0,165783377	672/57697	2	BP
GO:0060560	developmental growth involved in morphogenesis	2/41	244/18870	0,098353554	0,218395732	0,166073069	23327/4851	2	BP
GO:0009913	epidermal cell differentiation	2/41	245/18870	0,099031096	0,218395732	0,166073069	388697/4851	2	BP
GO:0032984	protein-containing complex disassembly	2/41	245/18870	0,099031096	0,218395732	0,166073069	6712/6708	2	BP
GO:0001754	eye photoreceptor cell differentiation	1/41	48/18870	0,09925797	0,218395732	0,166073069	4851	1	BP
GO:0032964	collagen biosynthetic process	1/41	48/18870	0,09925797	0,218395732	0,166073069	4851	1	BP
GO:0044331	cell-cell adhesion mediated by cadherin	1/41	48/18870	0,09925797	0,218395732	0,166073069	4851	1	BP
GO:0045747	positive regulation of Notch signaling pathway	1/41	48/18870	0,09925797	0,218395732	0,166073069	4851	1	BP
GO:0070509	calcium ion import	1/41	48/18870	0,09925797	0,218395732	0,166073069	5159	1	BP
GO:0097720	calcineurin-mediated signaling	1/41	48/18870	0,09925797	0,218395732	0,166073069	2065	1	BP
GO:0098534	centriole assembly	1/41	48/18870	0,09925797	0,218395732	0,166073069	672	1	BP
GO:0022604	regulation of cell morphogenesis	2/41	247/18870	0,100390228	0,220210492	0,167453053	23327/6708	2	BP
GO:0033002	muscle cell proliferation	2/41	247/18870	0,100390228	0,220210492	0,167453053	5159/4851	2	BP
GO:0014911	positive regulation of smooth muscle cell migration	1/41	49/18870	0,101220058	0,220210492	0,167453053	5159	1	BP
GO:0032873	negative regulation of stress-activated MAPK cascade	1/41	49/18870	0,101220058	0,220210492	0,167453053	51339	1	BP
GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	1/41	49/18870	0,101220058	0,220210492	0,167453053	4851	1	BP
GO:0060071	Wnt signaling pathway, planar cell polarity pathway	1/41	49/18870	0,101220058	0,220210492	0,167453053	51339	1	BP
GO:0070303	negative regulation of stress-activated protein kinase signaling cascade	1/41	49/18870	0,101220058	0,220210492	0,167453053	51339	1	BP
GO:2000378	negative regulation of reactive oxygen species metabolic process	1/41	49/18870	0,101220058	0,220210492	0,167453053	672	1	BP
GO:0031669	cellular response to nutrient levels	2/41	251/18870	0,103124441	0,22105489	0,168095152	83990/1030	2	BP
GO:0042593	glucose homeostasis	2/41	251/18870	0,103124441	0,22105489	0,168095152	1080/26137	2	BP
GO:0016573	histone acetylation	1/41	50/18870	0,103177976	0,22105489	0,168095152	672	1	BP
GO:0021515	cell differentiation in spinal cord	1/41	50/18870	0,103177976	0,22105489	0,168095152	4851	1	BP
GO:0022602	ovulation cycle process	1/41	50/18870	0,103177976	0,22105489	0,168095152	4851	1	BP
GO:0030850	prostate gland development	1/41	50/18870	0,103177976	0,22105489	0,168095152	4851	1	BP
GO:0045910	negative regulation of DNA recombination	1/41	50/18870	0,103177976	0,22105489	0,168095152	4436	1	BP
GO:0071320	cellular response to cAMP	1/41	50/18870	0,103177976	0,22105489	0,168095152	1080	1	BP
GO:0071385	cellular response to glucocorticoid stimulus	1/41	50/18870	0,103177976	0,22105489	0,168095152	498	1	BP
GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors	1/41	50/18870	0,103177976	0,22105489	0,168095152	672	1	BP
GO:2000649	regulation of sodium ion transmembrane transporter activity	1/41	50/18870	0,103177976	0,22105489	0,168095152	23327	1	BP
GO:0010001	glial cell differentiation	2/41	252/18870	0,103811267	0,221798141	0,168660338	2065/4851	2	BP
GO:0033500	carbohydrate homeostasis	2/41	252/18870	0,103811267	0,221798141	0,168660338	1080/26137	2	BP
GO:0021695	cerebellar cortex development	1/41	51/18870	0,105131733	0,223693756	0,170101806	6712	1	BP
GO:0038084	vascular endothelial growth factor signaling pathway	1/41	51/18870	0,105131733	0,223693756	0,170101806	5159	1	BP
GO:0046622	positive regulation of organ growth	1/41	51/18870	0,105131733	0,223693756	0,170101806	4851	1	BP
